# T (K)     Thermal pressure (GPa)
# V= 188.4475000000000
    0.0       0.0000000000000
  100.0       0.0429365890681
  200.0       0.2448829731439
  300.0       0.5548735047865
  400.0       0.9164508948940
  500.0       1.3034063309604
  600.0       1.7043224095360
  700.0       2.1136839464230
  800.0       2.5285401545518
  900.0       2.9471813460112
 1000.0       3.3685476901915
 1100.0       3.7919484427013
 1200.0       4.2169142471849
 1300.0       4.6431150181718
 1400.0       5.0703094181229
 1500.0       5.4983203758060
 1600.0       5.9270113069457
 1700.0       6.3562784300307
 1800.0       6.7860360430419
 1900.0       7.2162210719064
 2000.0       7.6467769508419
 2100.0       8.0776619843258
 2200.0       8.5088370001249
 2300.0       8.9402730498204
 2400.0       9.3719449985085
 2500.0       9.8038274989697
 2600.0      10.2359036149501
 2700.0      10.6681574391094
 2800.0      11.1005740766901
 2900.0      11.5331394332008
 3000.0      11.9658453589881
 3100.0      12.3986790661182
 3200.0      12.8316332868642
 3300.0      13.2646989406499
 3400.0      13.6978701642978
 3500.0      14.1311417642408
 3600.0      14.5645062277723
 3700.0      14.9979581816738
 3800.0      15.4314933469687
 3900.0      15.8651070527133
 4000.0      16.2987964734765
 4100.0      16.7325566606712
 4200.0      17.1663835803003
 4300.0      17.6002766770769
 4400.0      18.0342297611839
 4500.0      18.4682415750594
 4600.0      18.9023093586004
 4700.0      19.3364314786096
 4800.0      19.7706065468697
 4900.0      20.2048297454489
 5000.0      20.6390986245518
 5100.0      21.0734126615551
 5200.0      21.5077784545753
 5300.0      21.9421748373776
 5400.0      22.3766216533070
 5500.0      22.8110969358624
 5600.0      23.2456160697605
 5700.0      23.6801701377451
 5800.0      24.1147598094270
 5900.0      24.5493803648666
 6000.0      24.9840343518512
# V= 187.6646262626263
    0.0       0.0000000000000
  100.0       0.0427010248809
  200.0       0.2431798506851
  300.0       0.5514537696607
  400.0       0.9115121721192
  500.0       1.2971307628458
  600.0       1.6968274392867
  700.0       2.1050415817003
  800.0       2.5187944998440
  900.0       2.9363593817348
 1000.0       3.3566657238198
 1100.0       3.7790159386116
 1200.0       4.2029362111264
 1300.0       4.6280933528192
 1400.0       5.0542440418162
 1500.0       5.4812097533400
 1600.0       5.9088529640268
 1700.0       6.3370691410945
 1800.0       6.7657722313867
 1900.0       7.1948987035354
 2000.0       7.6243919264302
 2100.0       8.0542099840670
 2200.0       8.4843136715488
 2300.0       8.9146740159586
 2400.0       9.3452658497288
 2500.0       9.7760639236318
 2600.0      10.2070513177453
 2700.0      10.6382121573935
 2800.0      11.0695316131463
 2900.0      11.5009957375003
 3000.0      11.9325963644700
 3100.0      12.3643208531095
 3200.0      12.7961620173516
 3300.0      13.2281108092841
 3400.0      13.6601615127172
 3500.0      14.0923089667479
 3600.0      14.5245457566612
 3700.0      14.9568666072306
 3800.0      15.3892672884753
 3900.0      15.8217432601075
 4000.0      16.2542917130280
 4100.0      16.6869077639775
 4200.0      17.1195875586107
 4300.0      17.5523304926448
 4400.0      17.9851305232503
 4500.0      18.4179864091974
 4600.0      18.8508955210388
 4700.0      19.2838562255773
 4800.0      19.7168671999234
 4900.0      20.1499237404691
 5000.0      20.5830234790788
 5100.0      21.0161658604654
 5200.0      21.4493574174175
 5300.0      21.8825775063232
 5400.0      22.3158454642367
 5500.0      22.7491398799436
 5600.0      23.1824757951894
 5700.0      23.6158445213654
 5800.0      24.0492467117505
 5900.0      24.4826778260566
 6000.0      24.9161403304115
# V= 186.8817525252525
    0.0       0.0000000000000
  100.0       0.0424569517368
  200.0       0.2414405610760
  300.0       0.5479661425305
  400.0       0.9064759148121
  500.0       1.2907305736246
  600.0       1.6891827293591
  700.0       2.0962257306131
  800.0       2.5088525593399
  900.0       2.9253190100070
 1000.0       3.3445437672967
 1100.0       3.7658222373059
 1200.0       4.1886760239328
 1300.0       4.6127688273919
 1400.0       5.0378552924790
 1500.0       5.4637554000414
 1600.0       5.8903305978009
 1700.0       6.3174756915308
 1800.0       6.7451041381155
 1900.0       7.1731520877135
 2000.0       7.6015626887328
 2100.0       8.0302938373517
 2200.0       8.4593063368391
 2300.0       8.8885711489501
 2400.0       9.3180630734532
 2500.0       9.7477569427807
 2600.0      10.1776358206784
 2700.0      10.6076839467940
 2800.0      11.0378865080297
 2900.0      11.4682296712058
 3000.0      11.8987052866686
 3100.0      12.3293008931241
 3200.0      12.7600092881730
 3300.0      13.1908216035549
 3400.0      13.6217321230798
 3500.0      14.0527357675048
 3600.0      14.4838252037747
 3700.0      14.9149953036505
 3800.0      15.3462418698156
 3900.0      15.7775604273100
 4000.0      16.2089482650264
 4100.0      16.6404005487013
 4200.0      17.0719135709772
 4300.0      17.5034866785754
 4400.0      17.9351140246500
 4500.0      18.3667943679712
 4600.0      18.7985251280877
 4700.0      19.2303047697942
 4800.0      19.6621319865328
 4900.0      20.0940022053517
 5000.0      20.5259131234429
 5100.0      20.9578642508473
 5200.0      21.3898618917059
 5300.0      21.8218860066897
 5400.0      22.2539554265619
