# V (a.u.^3)          Helmholtz Free Energy (Ry.)
# T= 0.000000 K
188.6160000000000      -0.8660356008378
187.8709595959596      -0.8669735688629
187.1259191919192      -0.8678905440915
186.3808787878788      -0.8687861027632
185.6358383838384      -0.8696598108217
184.8907979797980      -0.8705112236217
184.1457575757576      -0.8713398856264
183.4007171717172      -0.8721453300955
182.6556767676768      -0.8729270787624
181.9106363636364      -0.8736846415011
181.1655959595960      -0.8744175159819
180.4205555555556      -0.8751251873159
179.6755151515152      -0.8758071276868
178.9304747474748      -0.8764627959716
178.1854343434344      -0.8770916373474
177.4403939393939      -0.8776930828855
176.6953535353535      -0.8782665491316
175.9503131313132      -0.8788114376713
175.2052727272727      -0.8793271346813
174.4602323232323      -0.8798130104647
173.7151919191919      -0.8802684189703
172.9701515151515      -0.8806926972954
172.2251111111111      -0.8810851651711
171.4800707070707      -0.8814451244295
170.7350303030303      -0.8817718584522
169.9899898989899      -0.8820646315995
169.2449494949495      -0.8823226886191
168.4999090909091      -0.8825452540337
167.7548686868687      -0.8827315315071
167.0098282828283      -0.8828807031864
166.2647878787879      -0.8829919290221
165.5197474747475      -0.8830643460619
164.7747070707071      -0.8830970677196
164.0296666666667      -0.8830891830173
163.2846262626263      -0.8830397557990
162.5395858585859      -0.8829478239161
161.7945454545455      -0.8828123983814
161.0495050505050      -0.8826324624932
160.3044646464647      -0.8824069709246
159.5594242424243      -0.8821348487802
158.8143838383838      -0.8818149906163
158.0693434343434      -0.8814462594235
157.3243030303030      -0.8810274855714
156.5792626262626      -0.8805574657119
155.8342222222222      -0.8800349616408
155.0891818181818      -0.8794586991148
154.3441414141414      -0.8788273666229
153.5991010101010      -0.8781396141090
152.8540606060606      -0.8773940516456
152.1090202020202      -0.8765892480530
151.3639797979798      -0.8757237294660
150.6189393939394      -0.8747959778417
149.8738989898990      -0.8738044294078
149.1288585858586      -0.8727474730489
148.3838181818182      -0.8716234486271
147.6387777777778      -0.8704306452338
146.8937373737374      -0.8691672993703
146.1486969696970      -0.8678315930541
145.4036565656566      -0.8664216518454
144.6586161616162      -0.8649355427934
143.9135757575758      -0.8633712722951
143.1685353535354      -0.8617267838654
142.4234949494950      -0.8599999558123
141.6784545454545      -0.8581885988141
140.9334141414141      -0.8562904533920
140.1883737373738      -0.8543031872759
139.4433333333333      -0.8522243926551
138.6982929292929      -0.8500515833109
137.9532525252525      -0.8477821916234
137.2082121212121      -0.8454135654472
136.4631717171717      -0.8429429648502
135.7181313131313      -0.8403675587064
134.9730909090909      -0.8376844211384
134.2280505050505      -0.8348905277989
133.4830101010101      -0.8319827519863
132.7379696969697      -0.8289578605828
131.9929292929293      -0.8258125098080
131.2478888888889      -0.8225432407778
130.5028484848485      -0.8191464748585
129.7578080808081      -0.8156185088057
129.0127676767677      -0.8119555096758
128.2677272727273      -0.8081535094996
127.5226868686869      -0.8042083997040
126.7776464646465      -0.8001159252692
126.0326060606061      -0.7958716786068
125.2875656565657      -0.7914710931438
124.5425252525253      -0.7869094365967
123.7974848484849      -0.7821818039184
123.0524444444444      -0.7772831099002
122.3074040404040      -0.7722080814098
121.5623636363636      -0.7669512492452
120.8173232323232      -0.7615069395818
120.0722828282828      -0.7558692649918
119.3272424242424      -0.7500321150100
118.5822020202020      -0.7439891462209
117.8371616161616      -0.7377337718385
117.0921212121212      -0.7312591507516
116.3470808080808      -0.7245581760016
115.6020404040404      -0.7176234626595
114.8570000000000      -0.7104473350684
# T= 100.000000 K
188.6160000000000      -0.8663189924705
187.8709595959596      -0.8672523058433
187.1259191919192      -0.8681646825308
186.3808787878788      -0.8690556995562
185.6358383838384      -0.8699249236584
184.8907979797980      -0.8707719109995
184.1457575757576      -0.8715962068625
183.4007171717172      -0.8723973453391
182.6556767676768      -0.8731748490076
181.9106363636364      -0.8739282285994
181.1655959595960      -0.8746569826553
180.4205555555556      -0.8753605971698
179.6755151515152      -0.8760385452235
178.9304747474748      -0.8766902866036
178.1854343434344      -0.8773152674110
177.4403939393939      -0.8779129196547
176.6953535353535      -0.8784826608317
175.9503131313132      -0.8790238934933
175.2052727272727      -0.8795360047959
174.4602323232323      -0.8800183660368
173.7151919191919      -0.8804703321736
172.9701515151515      -0.8808912413268
172.2251111111111      -0.8812804142659
171.4800707070707      -0.8816371538759
170.7350303030303      -0.8819607446070
169.9899898989899      -0.8822504519027
169.2449494949495      -0.8825055216097
168.4999090909091      -0.8827251793650
167.7548686868687      -0.8829086299620
167.0098282828283      -0.8830550566936
166.2647878787879      -0.8831636206715
165.5197474747475      -0.8832334601203
164.7747070707071      -0.8832636896471
164.0296666666667      -0.8832533994829
163.2846262626263      -0.8832016546967
162.5395858585859      -0.8831074943808
161.7945454545455      -0.8829699308055
161.0495050505050      -0.8827879485420
160.3044646464647      -0.8825605035528
159.5594242424243      -0.8822865222479
158.8143838383838      -0.8819649005046
158.0693434343434      -0.8815945026509
157.3243030303030      -0.8811741604093
156.5792626262626      -0.8807026718004
155.8342222222222      -0.8801788000043
