# T (K)     Thermal pressure (GPa)
# V= 188.6160000000000
    0.0       0.0000000000000
  100.0       0.0924531496968
  200.0       0.4395122584692
  300.0       0.9199863012061
  400.0       1.4595765351247
  500.0       2.0274566748183
  600.0       2.6105921985390
  700.0       3.2027646347437
  800.0       3.8006692335498
  900.0       4.4024003397235
 1000.0       5.0067766617849
 1100.0       5.6130380036348
 1200.0       6.2206610807486
 1300.0       6.8292794935176
 1400.0       7.4386306973382
 1500.0       8.0485133598349
 1600.0       8.6587780271388
 1700.0       9.2693075990163
 1800.0       9.8800083952802
 1900.0      10.4908067505743
 2000.0      11.1016392723523
 2100.0      11.7124548333781
 2200.0      12.3232124649019
 2300.0      12.9338775758087
 2400.0      13.5444180901069
 2500.0      14.1548014745097
 2600.0      14.7650071017377
 2700.0      15.3750186561514
 2800.0      15.9848056786244
 2900.0      16.5943664053040
 3000.0      17.2036690541741
 3100.0      17.8126993837558
 3200.0      18.4214583739672
 3300.0      19.0299208899048
 3400.0      19.6380959304846
 3500.0      20.2459383051422
 3600.0      20.8534675632473
 3700.0      21.4606596151421
 3800.0      22.0675044656604
 3900.0      22.6740167809123
 4000.0      23.2801342054316
 4100.0      23.8859171185160
 4200.0      24.4912775071725
 4300.0      25.0962733825628
 4400.0      25.7008912708108
 4500.0      26.3050567144596
 4600.0      26.9088270877241
 4700.0      27.5122112262007
 4800.0      28.1150793070502
 4900.0      28.7176720961924
 5000.0      29.2036759892372
 5100.0      29.5177470965579
 5200.0      29.8123061201956
 5300.0      30.1133296156933
 5400.0      30.4187349790744
 5500.0      30.7231375920855
 5600.0      31.0329037387752
 5700.0      31.3417124073191
 5800.0      31.6568352772556
 5900.0      31.9702560128176
 6000.0      32.2970991789426
# V= 187.8709595959596
    0.0       0.0000000000000
  100.0       0.0913529137903
  200.0       0.4344626824395
  300.0       0.9103496705723
  400.0       1.4454404219165
  500.0       2.0089644655773
  600.0       2.5878516352795
  700.0       3.1758518652814
  800.0       3.7696396885953
  900.0       4.3672961475964
 1000.0       4.9676316459978
 1100.0       5.5698802306802
 1200.0       6.1735149750895
 1300.0       6.7781668991656
 1400.0       7.3835715311321
 1500.0       7.9895264280396
 1600.0       8.5958811479350
 1700.0       9.2025179536377
 1800.0       9.8093427403293
 1900.0      10.4162814343544
 2000.0      11.0232705778385
 2100.0      11.6302588720602
 2200.0      12.2372052094478
 2300.0      12.8440749498903
 2400.0      13.4508360663920
 2500.0      14.0574561726541
 2600.0      14.6639146413968
 2700.0      15.2701950426571
 2800.0      15.8762673909358
 2900.0      16.4821295957405
 3000.0      17.0877503813464
 3100.0      17.6931156369303
 3200.0      18.2982261627588
 3300.0      18.9030571832314
 3400.0      19.5076174522849
 3500.0      20.1118626449492
 3600.0      20.7158117879709
 3700.0      21.3194412653195
 3800.0      21.9227412778123
 3900.0      22.5257260505962
 4000.0      23.1283346164227
 4100.0      23.7306260316996
 4200.0      24.3325140962829
 4300.0      24.9340556127684
 4400.0      25.5352373522595
 4500.0      26.1359864251686
 4600.0      26.7363590298086
 4700.0      27.3363637731284
 4800.0      27.9358736087237
 4900.0      28.5351242396035
 5000.0      29.0201906121713
 5100.0      29.3369030565366
 5200.0      29.6345872355349
 5300.0      29.9386535405941
 5400.0      30.2470626637936
 5500.0      30.5545564779970
 5600.0      30.8673736655618
 5700.0      31.1792859475962
 5800.0      31.4974380878902
 5900.0      31.8139691330509
 6000.0      32.1436953493947
# V= 187.1259191919192
    0.0       0.0000000000000
  100.0       0.0902373094989
  200.0       0.4293494607180
  300.0       0.9005930652778
  400.0       1.4311284950380
  500.0       1.9902422776834
  600.0       2.5648282267760
  700.0       3.1486042495788
  800.0       3.7382239170189
  900.0       4.3317547975952
 1000.0       4.9279987615658
 1100.0       5.5261840334637
 1200.0       6.1257799712115
 1300.0       6.7264149326375
 1400.0       7.3278226086187
 1500.0       7.9297992496480
 1600.0       8.5321935155138
 1700.0       9.1348869585948
 1800.0       9.7377850576073
 1900.0      10.3408134040905
 2000.0      10.9439082870246
 2100.0      11.5470183750238
 2200.0      12.1501023808650
 2300.0      12.7531256154412
 2400.0      13.3560560517569
 2500.0      13.9588614668327
 2600.0      14.5615212660529
 2700.0      15.1640189377946
 2800.0      15.7663248558620
 2900.0      16.3684366847832
 3000.0      16.9703236387924
 3100.0      17.5719717703862
 3200.0      18.1733815695237
 3300.0      18.7745287995596
 3400.0      19.3754218551271
 3500.0      19.9760172931827
 3600.0      20.5763336505137
 3700.0      21.1763478010490
 3800.0      21.7760500435975
 3900.0      22.3754542929988
 4000.0      22.9745009048939
 4100.0      23.5732475801371
 4200.0      24.1716100130931
 4300.0      24.7696437161319
 4400.0      25.3673358033284
 4500.0      25.9646149039681
 4600.0      26.5615359914662
 4700.0      27.1581075911119
 4800.0      27.7542052696161
 4900.0      28.3500596997406
 5000.0      28.8341631229522
 5100.0      29.1535337426243
 5200.0      29.4543646188532
 5300.0      29.7614929725362
 5400.0      30.0729234450871
 5500.0      30.3835258703641
 5600.0      30.6994098918202
 5700.0      31.0144408617546
 5800.0      31.3356353216510
 5900.0      31.6552893663520
 6000.0      31.9879078278146
# V= 186.3808787878788
    0.0       0.0000000000000
  100.0       0.0891061326729
  200.0       0.4241718583658
  300.0       0.8907151297690
  400.0       1.4166387783206
  500.0       1.9712874735230
  600.0       2.5415187392983
  700.0       3.1210180639464
  800.0       3.7064176153462
  900.0       4.2957713819625
 1000.0       4.8878725372786
 1100.0       5.4819434018201
 1200.0       6.0774495036621
 1300.0       6.6740165385217
 1400.0       7.2713762211075
 1500.0       7.8693235770144
 1600.0       8.4677062942786
 1700.0       9.0664052475020
 1800.0       9.6653254172757
 1900.0      10.2643920603335
 2000.0      10.8635412778379
 2100.0      11.4627215995816
 2200.0      12.0618916321833
 2300.0      12.6610165722125
 2400.0      13.2600644580013
 2500.0      13.8590031808944
 2600.0      14.4578121462760
 2700.0      15.0564748588551
 2800.0      15.6549619537475
 2900.0      16.2532708831657
 3000.0      16.8513714002989
 3100.0      17.4492496229715
 3200.0      18.0469058614911
 3300.0      18.6443162711796
 3400.0      19.2414889853586
 3500.0      19.8383813939153
 3600.0      20.4350116253376
 3700.0      21.0313568965258
 3800.0      21.6274078002644
 3900.0      22.2231777777657
 4000.0      22.8186085892203
